pcodeph,pop
PH140101000,43936
PH140102000,4063
PH140103000,17126
PH140104000,2176
PH140105000,1715
PH140106000,4734
PH140107000,11499
PH140108000,14882
PH140109000,2977
PH140110000,13824
PH140111000,4477
PH140112000,3170
PH140113000,4485
PH140114000,6391
PH140115000,3807
PH140116000,10756
PH140117000,6544
PH140118000,11528
PH140119000,9908
PH140120000,5985
PH140121000,4888
PH140122000,10546
PH140123000,5233
PH140124000,13940
PH140125000,4668
PH140126000,5719
PH140127000,5377
PH160201000,56139
PH160202000,309709
PH160203000,69241
PH160204000,19781
PH160205000,23833
PH160206000,12457
PH160207000,24933
PH160208000,21481
PH160209000,40663
PH160212000,15735
PH160210000,20955
PH160211000,20426
PH160301000,99361
PH160302000,37482
PH160303000,51897
PH160304000,28562
PH160305000,39474
PH160306000,76628
PH160307000,38280
PH160308000,70986
PH160309000,32733
PH160310000,25156
PH160314000,30030
PH160311000,37224
PH160312000,47193
PH160313000,40457
PH060401000,23919
PH060402000,27197
PH060403000,38063
PH060404000,30312
PH060405000,16962
PH060406000,45279
PH060407000,74619
PH060408000,14518
PH060409000,28005
PH060410000,18168
PH060411000,25461
PH060412000,45811
PH060413000,24108
PH060414000,31052
PH060415000,42112
PH060416000,29862
PH060417000,20277
PH050501000,65724
PH050502000,63585
PH050503000,115804
PH050504000,75967
PH050505000,16899
PH050506000,177092
PH050507000,71527
PH050508000,104914
PH050509000,35567
PH050510000,42770
PH050511000,22819
PH050512000,64785
PH050513000,45028
PH050514000,82307
PH050515000,35875
PH050516000,32414
PH050517000,125083
PH050518000,50163
PH060601000,20349
PH060602000,21775
PH060603000,12807
PH060604000,32264
PH060605000,30046
PH060606000,39086
PH060608000,45983
PH060609000,25211
PH060610000,15669
PH060611000,32494
PH060612000,35102
PH060613000,57847
PH060614000,30446
PH060615000,17270
PH060616000,56058
PH060617000,24513
PH060607000,29831
PH060618000,18442
PH148101000,11082
PH148102000,24811
PH148103000,16743
PH148104000,16170
PH148105000,18029
PH148106000,13305
PH148107000,12010
PH037701000,36010
PH037702000,23865
PH037703000,15683
PH037704000,10988
PH037705000,23554
PH037706000,27729
PH037707000,38128
PH037708000,25276
PH150708000,13369
PH150709000,19523
PH150710000,15962
PH099701000,97857
PH150702000,68996
PH150703000,20087
PH150712000,12249
PH150704000,33803
PH150705000,37031
PH150713000,18635
PH150706000,16978
PH150707000,18988
PH150711000,17701
PH030801000,37719
PH030802000,25568
PH030803000,87920
PH030804000,97275
PH030805000,56997
PH030806000,57207
PH030807000,112707
PH030808000,26171
PH030809000,61099
PH030810000,51454
PH030811000,39787
PH030812000,33578
PH020901000,7907
PH020902000,2988
PH020903000,1249
PH020904000,1583
PH020905000,1637
PH020906000,1240
PH041001000,35794
PH041002000,23649
PH041003000,81805
PH041004000,20214
PH041005000,305607
PH041006000,81351
PH041007000,70521
PH041008000,51997
PH041009000,31236
PH041010000,48482
PH041011000,35674
PH041012000,81825
PH041013000,45943
PH041014000,283468
PH041015000,37070
PH041016000,44391
PH041017000,45952
PH041018000,27177
PH041019000,122483
PH041020000,44877
PH041021000,105561
PH041022000,68517
PH041023000,94291
PH041024000,30701
PH041025000,20599
PH041026000,59598
PH041027000,17415
PH041028000,124740
PH041029000,51503
PH041030000,39600
PH041031000,152393
PH041032000,35357
PH041033000,16870
PH041034000,40734
PH141101000,19242
PH141102000,318676
PH141103000,13587
PH141104000,12648
PH141105000,39271
PH141106000,55960
PH141107000,13588
PH141108000,20084
PH141109000,16850
PH141110000,107188
PH141111000,35586
PH141112000,10511
PH141113000,42874
PH141114000,16555
PH087801000,16495
PH087802000,16183
PH087803000,19621
PH087804000,21473
PH087805000,12252
PH087806000,20238
PH087807000,6699
PH087808000,48799
PH071201000,9921
PH071202000,22285
PH071203000,16909
PH071204000,14481
PH071205000,18630
PH071206000,17147
PH071207000,12431
PH071248000,25796
PH071208000,17098
PH071209000,27031
PH071210000,30146
PH071211000,29043
PH071212000,43579
PH071213000,22686
PH071214000,20296
PH071215000,7699
PH071216000,15294
PH071217000,18868
PH071218000,17952
PH071219000,39448
PH071220000,15166
PH071221000,17580
PH071222000,23038
PH071223000,31789
PH071224000,43291
PH071225000,32566
PH071226000,27788
PH071227000,11985
PH071228000,16261
PH071229000,16312
PH071230000,42800
PH071231000,28174
PH071232000,20491
PH071233000,28603
PH071234000,26887
PH071235000,22812
PH071236000,20091
PH071237000,9125
PH071238000,23574
PH071239000,10443
PH071240000,24698
PH071241000,6380
PH071242000,96792
PH071243000,61373
PH071244000,28828
PH071245000,44902
PH071246000,68578
PH071247000,27586
PH101301000,32868
PH101322000,32427
PH101302000,25538
PH101303000,22448
PH101304000,64334
PH101305000,43587
PH101306000,31756
PH101307000,39847
PH101308000,35767
PH101309000,49488
PH101310000,55934
PH101311000,39393
PH101312000,153085
PH101313000,22880
PH101314000,91026
PH101315000,90901
PH101316000,48775
PH101317000,94584
PH101318000,50207
PH101319000,25668
PH101320000,67123
PH101321000,181556
PH031401000,55332
PH031402000,65440
PH031403000,143565
PH031404000,106407
PH031405000,71751
PH031406000,62415
PH031407000,101068
PH031424000,19878
PH031408000,90507
PH031409000,125689
PH031410000,232521
PH031411000,185624
PH031412000,199154
PH031413000,88482
PH031414000,58009
PH031415000,66650
PH031416000,50940
PH031417000,101441
PH031418000,85844
PH031419000,95000
PH031420000,454553
PH031421000,142854
PH031422000,85921
PH031423000,218351
PH021501000,30675
PH021502000,37773
PH021503000,31662
PH021504000,45182
PH021505000,61199
PH021506000,78188
PH021507000,32215
PH021508000,28455
PH021509000,16200
PH021510000,23404
PH021511000,30482
PH021512000,32553
PH021513000,54848
PH021514000,36303
PH021515000,25559
PH021516000,41388
PH021517000,36994
PH021518000,23236
PH021519000,42736
PH021520000,22961
PH021521000,18592
PH021522000,23257
PH021523000,30458
PH021524000,3646
PH021525000,17600
PH021526000,26126
PH021527000,76596
PH021528000,57620
PH021529000,138865
PH051601000,38176
PH051602000,31299
PH051603000,95572
PH051605000,55557
PH051606000,92041
PH051607000,47674
PH051608000,53243
PH051604000,12592
