pcodeph,pov,se,cv
PH012801000,13.2,1.1,8.5
PH012802000,19.6,2.3,11.7
PH012803000,12.6,1.4,11.3
PH012804000,15.3,2.1,13.6
PH012805000,16.8,1.6,9.6
PH012806000,22.6,5.3,23.5
PH012807000,15.2,1.3,8.7
PH012808000,16.3,2.1,13.1
PH012809000,26.9,2.6,9.8
PH012810000,21.6,5.7,26.3
PH012811000,17.8,2.2,12.2
PH012812000,9.9,0.8,8.2
PH012813000,18.7,2,10.9
PH012814000,24.9,2.7,10.7
PH012815000,20.2,1.3,6.3
PH012816000,14.9,1.2,7.9
PH012817000,14.1,1.6,11.4
PH012818000,16.3,2.6,16.1
PH012819000,17.6,2.3,13
PH012820000,12.3,1.1,9.2
PH012821000,14,1.9,13.5
PH012822000,15,1.3,8.7
PH012823000,16.8,2,12
PH012901000,27.4,2.4,8.6
PH012902000,20.9,2.6,12.6
PH012903000,16.4,1.9,11.3
PH012904000,26.5,3.2,12.2
PH012905000,20.7,2.4,11.4
PH012906000,17.8,2,11
PH012907000,14.4,1.4,9.9
PH012908000,24.5,3.6,14.6
PH012909000,20.6,2.8,13.8
PH012910000,26.1,3.4,13.1
PH012911000,17.3,3.4,19.9
PH012912000,18.1,2.5,13.9
PH012913000,28.4,4.6,16
PH012914000,17.7,1.9,11
PH012915000,27.2,4.3,15.8
PH012916000,22.7,2.8,12.5
PH012917000,23.7,4.7,19.9
PH012918000,15.7,2.9,18.6
PH012919000,15.4,2.4,15.4
PH012920000,18,2.3,12.8
PH012921000,12.9,2.8,21.5
PH012922000,13.6,2.3,16.9
PH012923000,11.7,2.3,19.6
PH012924000,24,2.3,9.7
PH012925000,25.1,2.8,11.2
PH012926000,16.9,2.1,12.7
PH012927000,20.9,2.4,11.4
PH012928000,16.4,2,12.3
PH012929000,27.2,5.5,20.1
PH012930000,18.7,2.5,13.2
PH012931000,35.4,7.4,20.9
PH012932000,24.4,4.4,18.1
PH012933000,20.6,1.9,9.3
PH012934000,12.4,1.6,12.9
PH013301000,21.3,2.2,10.3
PH013302000,26,3.5,13.4
PH013303000,21.1,1.8,8.4
PH013304000,35.1,3.6,10.2
PH013305000,26.6,2.2,8.2
PH013306000,27.9,3.3,11.9
PH013307000,20.3,2.2,10.7
PH013308000,26.2,2.8,10.6
PH013309000,25.2,1.8,7.2
PH013310000,24.7,2.9,11.8
PH013311000,21.9,2.8,12.9
PH013312000,27.4,2.6,9.4
PH013313000,24.8,3.6,14.4
PH013314000,15,1.3,8.9
PH013315000,29.7,4,13.6
PH013316000,22.7,2.8,12.3
PH013317000,22.7,1.4,6.3
PH013318000,32.7,3.2,9.8
PH013319000,25.8,3.6,14
PH013320000,26.2,3.5,13.3
PH015501000,28.4,3.3,11.5
PH015502000,26,2.1,8.1
PH015503000,19.9,2,10.1
PH015504000,20.3,1.5,7.5
PH015505000,25.9,2.1,8
PH015506000,20.4,2,10
PH015507000,21.4,2.1,10
PH015508000,21,1.1,5.3
PH015509000,24.6,1.2,5
PH015510000,23.4,2.2,9.4
PH015511000,24.2,1.9,7.9
PH015512000,14.8,1.4,9.7
PH015513000,17.5,1.7,9.6
PH015514000,28.7,2.8,9.7
PH015515000,24.8,1.9,7.6
PH015516000,28.7,2.8,9.8
PH015517000,17.2,1.9,11.1
PH015518000,13.9,1,7
PH015519000,25.3,2.4,9.6
PH015520000,24,2.6,11
PH015521000,18.6,1.8,9.9
PH015522000,18.3,1.1,5.8
PH015523000,21.5,1.6,7.6
PH015524000,24.5,1.5,6.3
